 Name,Description,Image,Rating,Featured,vedio link,Created,Updated
"Crete, Greece","The Greek Islands have long been a perennial favorite vacation destination for discerning travelers, and Crete, the largest of the 227 islands in the archipelago, deserves a spot atop your must-see list. It's a place where you can find white-washed buildings and blue roofs and a spot where you can dive into the cerulean blue waters of the Mediterranean at every turn.","{'url':'f430d253b3b51842ef830265404ab106dbe724bdca952d286cf8693bc5d0cc1e.jpg','size':757737,'width':1920,'height':1440,'filename':'elena-dimaki-bkQw8TB4uwc-unsplash (2).jpg'}",3.9,TRUE,https://www.youtube.com/embed/2XbzhqpnrgY?si=1vCaDDNuTtm2Qfcs,2023-04-18T20:47:27.769Z,2024-03-24T16:37:08.648Z
"Seoul, South Korea","Seoul is a must-visit destination for any traveler looking to experience the best of Asian culture. This lively city is home to a wide range of attractions, including traditional temples, modern skyscrapers, and historic palaces. You can also find plenty of great shops, restaurants, and bars to explore.","{'url':'9fc43f6fc789b0fe4447f3909d8c546bcbd18366e10b01aa6b4a87f289324cc8.jpg','size':658423,'width':1920,'height':1280,'filename':'andrea-de-santis-4MxdmOoLfIU-unsplash (2).jpg'}",4.2,TRUE,https://www.youtube.com/embed/KGerjHMa90s?si=8mPXmdsnfNmM85nd,2023-04-18T20:47:27.759Z,2024-03-24T16:38:38.521Z
"London, England","London is an outstanding city break destination combining various cultures and attractions. This cosmopolitan city is home to iconic sights such as Big Ben, the Houses of Parliament, and Buckingham Palace. You can also enjoy its diverse food scene, world-class museums, and lively nightlife.","{'url':'06a66f38102072528b866ca46731416ced4545118748a5d45152fe83d696f83c.jpg','size':593504,'width':1920,'height':1280,'filename':'charles-postiaux-Q6UehpkBSnQ-unsplash.jpg'}",5,TRUE,https://www.youtube.com/embed/KGerjHMa90s?si=8mPXmdsnfNmM85nd,2023-04-18T20:47:27.749Z,2024-03-24T16:39:32.231Z
"Bangkok, Thailand","Bangkok is one of the best places to visit. It’s particularly recommended to those looking to experience the exotic side of Asia. This lively city is filled with temples, markets, and street food vendors. You can also find plenty of great shops and malls to explore, as well as a vibrant nightlife scene.","{'url':'da84e0464b8c352c641887f6fa609860c42245f079e9104366132df9f41106bf.jpg','size':697775,'width':1920,'height':1486,'filename':'florian-wehde--y3sidWvDxg-unsplash (1).jpg'}",4.1,TRUE,https://www.youtube.com/embed/h8JXa3dz0_E?si=H_9Kg8glGLeCcOWe,2023-04-18T20:47:27.726Z,2024-03-24T16:42:21.028Z
"New York City, USA","New York City is the perfect destination for those who want to experience the hustle and bustle of a big city. This vibrant metropolis is home to world-famous landmarks such as the Statue of Liberty, Central Park, and the Empire State Building. You can also find plenty of great restaurants, bars, and shops to explore.","{'url':'37442a55b7c465f9ca3c38443d09e182cde8523c686e7a57ee01dce5b62cea09.jpg','size':508597,'width':1920,'height':1280,'filename':'luca-bravo-_QdFx92MO2U-unsplash (1).jpg'}",4.5,TRUE,https://www.youtube.com/embed/0qtdheM1cGw?si=HjdBpXOA63A9CFrU,2023-04-18T20:47:27.715Z,2024-03-24T16:43:37.986Z
"Rome, Italy","This historical destination is home to some of the world’s most iconic landmarks, such as the Colosseum, Vatican City, and the Trevi Fountain. When you’re not marveling at the city’s ancient architecture, you can enjoy its delicious food and wine.","{'url':'44303bb2b58681acb8cc2bb6b71caa92e31a54c19ae0a62a540e1fb5834825bf.jpg','size':779022,'width':1920,'height':1272,'filename':'chris-czermak-gZKzBhsO6KY-unsplash.jpg'}",3.8,TRUE,https://www.youtube.com/embed/GyV_0prNVVc?si=oWURvRe4WzdA_Oko,2023-04-18T20:47:27.705Z,2024-03-24T16:46:37.779Z
"Paris, France","Paris is one of the most popular tourist destinations in the world and is renowned for its romantic atmosphere and stunning architecture. While in Paris, be sure to visit the Eiffel Tower, Notre Dame Cathedral, and the Louvre Museum.","{'url':'c4197846f0ee54661f7e82469a255a74c797d1096e797e27e2acbb770e0f1586.jpg','size':602830,'width':1920,'height':1280,'filename':'anthony-delanoix-pt4j4bGSPmw-unsplash (1).jpg'}",4.7,TRUE,https://www.youtube.com/embed/EkshFcLESPU?si=i79lgVPIL8FMmQ8t,2023-04-18T20:47:27.695Z,2024-03-24T16:47:44.215Z
"Cape Town, South Africa","This quaint city has a unique mix of cultures, stunning scenery, and exciting activities. You can select from a wide range of activities such as climbing Table Mountain or exploring the Kirstenbosch National Botanical Gardens.","{'url':'e305160a8535c07ebf3068dd4713678db01f2938c025c63426b8cd3798fee19d.jpg','size':623096,'width':1920,'height':1440,'filename':'nabeel-laher-6yVC8AbSPzw-unsplash (1).jpg'}",4.3,TRUE,https://www.youtube.com/embed/ghdAW41b-2c?si=u1MOBmUTPN1eRTBK,2023-04-18T20:47:27.684Z,2024-03-24T16:48:49.884Z
"Cancun, Mexico","Cancun offers the perfect mix of sun, sea, and sand. This Mexican city is also home to some of the best all-inclusive resorts in the world, making it the perfect place to relax and unwind. When you’re not lounging on the beach, you can explore the nearby Mayan ruins or take a day trip to the island of Isla Mujeres.","{'url':'35c493203e539d4649c45e0122125fa9f31e41f0cbc37ac97312d3776a5ae5f4.jpg','size':861488,'width':1920,'height':1440,'filename':'darren-lawrence-K4BsLPTjKJA-unsplash.jpg'}",4.7,TRUE,https://www.youtube.com/embed/_kJkCut7I1k?si=byTOrfSykpkfrAJz,2023-04-18T20:47:27.674Z,2024-03-24T16:50:27.141Z
"Barcelona, Spain","Barcelona is a renowned tourist destination for a reason: its unique architecture, Mediterranean atmosphere, tasty food, and lively nightlife make it a perfect city break. Travelers will find plenty to see and do in this vibrant location, from exploring Gaudi’s masterpieces to strolling down Las Ramblas.","{'url':'939aea93409b3349a6cc33b4eb67993ab051a6c65417a5c8537d7df868c0f9a6.jpg','size':544112,'width':1920,'height':1280,'filename':'daniel-corneschi-N6HTCyN50p0-unsplash (1).jpg'}",4.3,TRUE,https://www.youtube.com/embed/KJ-_LUrGhYE?si=iTi-HrTnXXkT22bV,2023-04-18T20:47:27.662Z,2024-03-24T16:51:15.122Z
